2021-03-13 16:07:07,172 semantic_segmentation INFO: Start validation, Total sample: 6166
2021-03-13 16:07:08,098 semantic_segmentation INFO: Sample: 1, validation pixAcc: 99.464, mIoU: 88.049
2021-03-13 16:07:18,574 semantic_segmentation INFO: Sample: 2, validation pixAcc: 99.560, mIoU: 90.467
2021-03-13 16:07:46,681 semantic_segmentation INFO: Start validation, Total sample: 6166
2021-03-13 16:07:47,358 semantic_segmentation INFO: Sample: 1, validation pixAcc: 99.464, mIoU: 88.049
2021-03-13 16:07:47,407 semantic_segmentation INFO: Sample: 2, validation pixAcc: 99.560, mIoU: 90.467
2021-03-13 16:07:47,451 semantic_segmentation INFO: Sample: 3, validation pixAcc: 99.241, mIoU: 84.722
2021-03-13 16:07:47,495 semantic_segmentation INFO: Sample: 4, validation pixAcc: 99.484, mIoU: 88.902
2021-03-13 16:07:47,538 semantic_segmentation INFO: Sample: 5, validation pixAcc: 99.391, mIoU: 87.596
2021-03-13 16:07:47,581 semantic_segmentation INFO: Sample: 6, validation pixAcc: 99.463, mIoU: 88.397
2021-03-13 16:07:47,624 semantic_segmentation INFO: Sample: 7, validation pixAcc: 99.504, mIoU: 89.546
2021-03-13 16:07:47,668 semantic_segmentation INFO: Sample: 8, validation pixAcc: 99.453, mIoU: 88.577
2021-03-13 16:07:47,711 semantic_segmentation INFO: Sample: 9, validation pixAcc: 99.122, mIoU: 83.271
2021-03-13 16:07:47,755 semantic_segmentation INFO: Sample: 10, validation pixAcc: 99.107, mIoU: 82.531
2021-03-13 16:07:47,798 semantic_segmentation INFO: Sample: 11, validation pixAcc: 99.281, mIoU: 85.111
2021-03-13 16:07:47,841 semantic_segmentation INFO: Sample: 12, validation pixAcc: 98.872, mIoU: 77.340
2021-03-13 16:07:47,884 semantic_segmentation INFO: Sample: 13, validation pixAcc: 99.152, mIoU: 82.937
2021-03-13 16:07:47,928 semantic_segmentation INFO: Sample: 14, validation pixAcc: 99.367, mIoU: 87.275
2021-03-13 16:07:47,971 semantic_segmentation INFO: Sample: 15, validation pixAcc: 99.324, mIoU: 86.338
2021-03-13 16:07:48,014 semantic_segmentation INFO: Sample: 16, validation pixAcc: 99.389, mIoU: 87.567
2021-03-13 16:07:48,058 semantic_segmentation INFO: Sample: 17, validation pixAcc: 99.327, mIoU: 86.072
2021-03-13 16:07:48,101 semantic_segmentation INFO: Sample: 18, validation pixAcc: 99.202, mIoU: 83.095
2021-03-13 16:07:48,144 semantic_segmentation INFO: Sample: 19, validation pixAcc: 99.405, mIoU: 87.777
2021-03-13 16:07:48,187 semantic_segmentation INFO: Sample: 20, validation pixAcc: 99.486, mIoU: 89.005
2021-03-13 16:07:48,231 semantic_segmentation INFO: Sample: 21, validation pixAcc: 99.546, mIoU: 90.785
2021-03-13 16:07:48,274 semantic_segmentation INFO: Sample: 22, validation pixAcc: 99.397, mIoU: 87.719
2021-03-13 16:07:48,317 semantic_segmentation INFO: Sample: 23, validation pixAcc: 99.407, mIoU: 88.065
2021-03-13 16:07:48,360 semantic_segmentation INFO: Sample: 24, validation pixAcc: 99.307, mIoU: 86.048
2021-03-13 16:07:48,404 semantic_segmentation INFO: Sample: 25, validation pixAcc: 99.521, mIoU: 90.132
2021-03-13 16:07:48,447 semantic_segmentation INFO: Sample: 26, validation pixAcc: 99.416, mIoU: 87.811
2021-03-13 16:07:48,490 semantic_segmentation INFO: Sample: 27, validation pixAcc: 99.333, mIoU: 86.431
2021-03-13 16:07:48,534 semantic_segmentation INFO: Sample: 28, validation pixAcc: 99.240, mIoU: 85.014
2021-03-13 16:07:48,577 semantic_segmentation INFO: Sample: 29, validation pixAcc: 98.888, mIoU: 78.224
2021-03-13 16:07:48,620 semantic_segmentation INFO: Sample: 30, validation pixAcc: 98.801, mIoU: 76.224
2021-03-13 16:07:48,663 semantic_segmentation INFO: Sample: 31, validation pixAcc: 98.933, mIoU: 79.361
2021-03-13 16:07:48,707 semantic_segmentation INFO: Sample: 32, validation pixAcc: 98.767, mIoU: 75.972
2021-03-13 16:07:48,750 semantic_segmentation INFO: Sample: 33, validation pixAcc: 99.343, mIoU: 86.374
2021-03-13 16:07:48,793 semantic_segmentation INFO: Sample: 34, validation pixAcc: 99.285, mIoU: 85.292
2021-03-13 16:07:48,837 semantic_segmentation INFO: Sample: 35, validation pixAcc: 99.257, mIoU: 85.020
2021-03-13 16:07:48,880 semantic_segmentation INFO: Sample: 36, validation pixAcc: 99.181, mIoU: 83.997
2021-03-13 16:07:48,923 semantic_segmentation INFO: Sample: 37, validation pixAcc: 99.149, mIoU: 83.432
2021-03-13 16:07:48,967 semantic_segmentation INFO: Sample: 38, validation pixAcc: 99.402, mIoU: 87.588
2021-03-13 16:07:49,010 semantic_segmentation INFO: Sample: 39, validation pixAcc: 99.238, mIoU: 84.888
2021-03-13 16:07:49,053 semantic_segmentation INFO: Sample: 40, validation pixAcc: 99.356, mIoU: 86.985
2021-03-13 16:07:49,096 semantic_segmentation INFO: Sample: 41, validation pixAcc: 99.297, mIoU: 85.450
2021-03-13 16:07:49,140 semantic_segmentation INFO: Sample: 42, validation pixAcc: 99.505, mIoU: 89.395
2021-03-13 16:07:49,183 semantic_segmentation INFO: Sample: 43, validation pixAcc: 99.398, mIoU: 87.245
2021-03-13 16:07:49,226 semantic_segmentation INFO: Sample: 44, validation pixAcc: 99.340, mIoU: 86.378
2021-03-13 16:07:49,270 semantic_segmentation INFO: Sample: 45, validation pixAcc: 99.392, mIoU: 87.554
2021-03-13 16:07:49,314 semantic_segmentation INFO: Sample: 46, validation pixAcc: 99.253, mIoU: 85.239
2021-03-13 16:07:49,357 semantic_segmentation INFO: Sample: 47, validation pixAcc: 99.386, mIoU: 87.565
2021-03-13 16:07:49,400 semantic_segmentation INFO: Sample: 48, validation pixAcc: 99.124, mIoU: 83.296
2021-03-13 16:07:49,443 semantic_segmentation INFO: Sample: 49, validation pixAcc: 99.362, mIoU: 86.751
2021-03-13 16:07:49,486 semantic_segmentation INFO: Sample: 50, validation pixAcc: 98.692, mIoU: 76.556
2021-03-13 16:07:49,530 semantic_segmentation INFO: Sample: 51, validation pixAcc: 99.278, mIoU: 85.765
2021-03-13 16:07:49,573 semantic_segmentation INFO: Sample: 52, validation pixAcc: 99.228, mIoU: 85.042
2021-03-13 16:07:49,616 semantic_segmentation INFO: Sample: 53, validation pixAcc: 99.353, mIoU: 87.018
2021-03-13 16:07:49,659 semantic_segmentation INFO: Sample: 54, validation pixAcc: 98.758, mIoU: 76.307
2021-03-13 16:07:49,703 semantic_segmentation INFO: Sample: 55, validation pixAcc: 98.534, mIoU: 73.151
2021-03-13 16:07:49,746 semantic_segmentation INFO: Sample: 56, validation pixAcc: 98.894, mIoU: 79.089
2021-03-13 16:07:49,789 semantic_segmentation INFO: Sample: 57, validation pixAcc: 98.729, mIoU: 75.918
2021-03-13 16:07:49,832 semantic_segmentation INFO: Sample: 58, validation pixAcc: 99.269, mIoU: 85.626
2021-03-13 16:07:49,876 semantic_segmentation INFO: Sample: 59, validation pixAcc: 99.066, mIoU: 82.168
2021-03-13 16:07:49,919 semantic_segmentation INFO: Sample: 60, validation pixAcc: 98.809, mIoU: 78.396
2021-03-13 16:07:49,962 semantic_segmentation INFO: Sample: 61, validation pixAcc: 99.047, mIoU: 81.643
2021-03-13 16:07:50,006 semantic_segmentation INFO: Sample: 62, validation pixAcc: 99.187, mIoU: 83.962
2021-03-13 16:07:50,049 semantic_segmentation INFO: Sample: 63, validation pixAcc: 98.773, mIoU: 77.851
2021-03-13 16:07:50,092 semantic_segmentation INFO: Sample: 64, validation pixAcc: 99.161, mIoU: 83.673
2021-03-13 16:07:50,135 semantic_segmentation INFO: Sample: 65, validation pixAcc: 98.993, mIoU: 81.317
2021-03-13 16:07:50,179 semantic_segmentation INFO: Sample: 66, validation pixAcc: 99.217, mIoU: 84.789
2021-03-13 16:07:50,222 semantic_segmentation INFO: Sample: 67, validation pixAcc: 99.066, mIoU: 82.227
2021-03-13 16:07:50,266 semantic_segmentation INFO: Sample: 68, validation pixAcc: 99.274, mIoU: 85.587
2021-03-13 16:07:50,309 semantic_segmentation INFO: Sample: 69, validation pixAcc: 99.000, mIoU: 81.154
2021-03-13 16:07:50,352 semantic_segmentation INFO: Sample: 70, validation pixAcc: 98.857, mIoU: 79.023
2021-03-13 16:07:50,395 semantic_segmentation INFO: Sample: 71, validation pixAcc: 99.022, mIoU: 81.474
2021-03-13 16:07:50,439 semantic_segmentation INFO: Sample: 72, validation pixAcc: 99.195, mIoU: 84.171
2021-03-13 16:07:50,482 semantic_segmentation INFO: Sample: 73, validation pixAcc: 99.234, mIoU: 84.940
2021-03-13 16:07:50,525 semantic_segmentation INFO: Sample: 74, validation pixAcc: 98.852, mIoU: 79.090
2021-03-13 16:07:50,569 semantic_segmentation INFO: Sample: 75, validation pixAcc: 98.529, mIoU: 74.621
2021-03-13 16:07:50,612 semantic_segmentation INFO: Sample: 76, validation pixAcc: 98.491, mIoU: 74.185
2021-03-13 16:07:50,655 semantic_segmentation INFO: Sample: 77, validation pixAcc: 99.076, mIoU: 82.530
2021-03-13 16:07:50,698 semantic_segmentation INFO: Sample: 78, validation pixAcc: 99.025, mIoU: 81.534
2021-03-13 16:07:50,742 semantic_segmentation INFO: Sample: 79, validation pixAcc: 99.073, mIoU: 82.271
2021-03-13 16:07:50,785 semantic_segmentation INFO: Sample: 80, validation pixAcc: 98.868, mIoU: 79.528
2021-03-13 16:07:50,828 semantic_segmentation INFO: Sample: 81, validation pixAcc: 98.946, mIoU: 80.916
2021-03-13 16:07:50,872 semantic_segmentation INFO: Sample: 82, validation pixAcc: 98.844, mIoU: 79.118
2021-03-13 16:07:50,915 semantic_segmentation INFO: Sample: 83, validation pixAcc: 98.740, mIoU: 76.229
2021-03-13 16:07:50,958 semantic_segmentation INFO: Sample: 84, validation pixAcc: 98.776, mIoU: 76.401
2021-03-13 16:07:51,002 semantic_segmentation INFO: Sample: 85, validation pixAcc: 98.867, mIoU: 76.273
2021-03-13 16:07:51,045 semantic_segmentation INFO: Sample: 86, validation pixAcc: 98.638, mIoU: 72.555
2021-03-13 16:07:51,088 semantic_segmentation INFO: Sample: 87, validation pixAcc: 98.761, mIoU: 73.498
2021-03-13 16:07:51,131 semantic_segmentation INFO: Sample: 88, validation pixAcc: 99.077, mIoU: 80.448
2021-03-13 16:07:51,175 semantic_segmentation INFO: Sample: 89, validation pixAcc: 99.230, mIoU: 84.462
2021-03-13 16:07:51,218 semantic_segmentation INFO: Sample: 90, validation pixAcc: 98.805, mIoU: 77.119
2021-03-13 16:07:51,261 semantic_segmentation INFO: Sample: 91, validation pixAcc: 98.822, mIoU: 77.182
2021-03-13 16:07:51,305 semantic_segmentation INFO: Sample: 92, validation pixAcc: 98.979, mIoU: 79.583
2021-03-13 16:07:51,348 semantic_segmentation INFO: Sample: 93, validation pixAcc: 98.784, mIoU: 77.318
2021-03-13 16:07:51,391 semantic_segmentation INFO: Sample: 94, validation pixAcc: 98.493, mIoU: 73.323
2021-03-13 16:07:51,434 semantic_segmentation INFO: Sample: 95, validation pixAcc: 98.918, mIoU: 79.788
2021-03-13 16:07:51,478 semantic_segmentation INFO: Sample: 96, validation pixAcc: 98.653, mIoU: 75.771
2021-03-13 16:07:51,521 semantic_segmentation INFO: Sample: 97, validation pixAcc: 99.163, mIoU: 83.514
2021-03-13 16:07:51,564 semantic_segmentation INFO: Sample: 98, validation pixAcc: 98.574, mIoU: 74.886
2021-03-13 16:07:51,608 semantic_segmentation INFO: Sample: 99, validation pixAcc: 98.251, mIoU: 70.908
2021-03-13 16:07:51,651 semantic_segmentation INFO: Sample: 100, validation pixAcc: 98.530, mIoU: 74.260
2021-03-13 16:07:51,694 semantic_segmentation INFO: Sample: 101, validation pixAcc: 98.776, mIoU: 76.708
2021-03-13 16:07:51,738 semantic_segmentation INFO: Sample: 102, validation pixAcc: 99.195, mIoU: 83.744
2021-03-13 16:07:51,781 semantic_segmentation INFO: Sample: 103, validation pixAcc: 98.969, mIoU: 80.792
2021-03-13 16:07:51,824 semantic_segmentation INFO: Sample: 104, validation pixAcc: 98.831, mIoU: 78.497
2021-03-13 16:07:51,868 semantic_segmentation INFO: Sample: 105, validation pixAcc: 99.140, mIoU: 83.564
2021-03-13 16:07:51,911 semantic_segmentation INFO: Sample: 106, validation pixAcc: 99.026, mIoU: 81.138
2021-03-13 16:07:51,954 semantic_segmentation INFO: Sample: 107, validation pixAcc: 98.955, mIoU: 80.336
2021-03-13 16:07:51,998 semantic_segmentation INFO: Sample: 108, validation pixAcc: 98.849, mIoU: 78.900
2021-03-13 16:07:52,041 semantic_segmentation INFO: Sample: 109, validation pixAcc: 98.485, mIoU: 73.781
2021-03-13 16:07:52,084 semantic_segmentation INFO: Sample: 110, validation pixAcc: 98.915, mIoU: 80.398
2021-03-13 16:07:52,127 semantic_segmentation INFO: Sample: 111, validation pixAcc: 98.910, mIoU: 79.640
2021-03-13 16:07:52,171 semantic_segmentation INFO: Sample: 112, validation pixAcc: 98.888, mIoU: 78.590
2021-03-13 16:07:52,214 semantic_segmentation INFO: Sample: 113, validation pixAcc: 98.589, mIoU: 73.567
2021-03-13 16:07:52,257 semantic_segmentation INFO: Sample: 114, validation pixAcc: 98.830, mIoU: 76.518
