2021-03-15 16:43:44,197 semantic_segmentation INFO: Start validation, Total sample: 4560
2021-03-15 16:43:45,996 semantic_segmentation INFO: Sample: 1, validation pixAcc: 98.102, mIoU: 79.434
2021-03-15 16:43:46,067 semantic_segmentation INFO: Sample: 2, validation pixAcc: 98.356, mIoU: 80.278
2021-03-15 16:43:46,117 semantic_segmentation INFO: Sample: 3, validation pixAcc: 98.406, mIoU: 80.435
2021-03-15 16:43:46,167 semantic_segmentation INFO: Sample: 4, validation pixAcc: 98.424, mIoU: 80.652
2021-03-15 16:43:46,217 semantic_segmentation INFO: Sample: 5, validation pixAcc: 98.448, mIoU: 81.028
2021-03-15 16:43:46,268 semantic_segmentation INFO: Sample: 6, validation pixAcc: 98.525, mIoU: 81.606
2021-03-15 16:43:46,321 semantic_segmentation INFO: Sample: 7, validation pixAcc: 98.614, mIoU: 82.429
2021-03-15 16:43:46,372 semantic_segmentation INFO: Sample: 8, validation pixAcc: 98.661, mIoU: 82.784
2021-03-15 16:43:46,418 semantic_segmentation INFO: Sample: 9, validation pixAcc: 98.723, mIoU: 83.271
2021-03-15 16:43:46,467 semantic_segmentation INFO: Sample: 10, validation pixAcc: 98.768, mIoU: 83.751
2021-03-15 16:43:46,515 semantic_segmentation INFO: Sample: 11, validation pixAcc: 98.803, mIoU: 84.205
2021-03-15 16:43:46,563 semantic_segmentation INFO: Sample: 12, validation pixAcc: 98.835, mIoU: 84.535
2021-03-15 16:43:46,615 semantic_segmentation INFO: Sample: 13, validation pixAcc: 98.865, mIoU: 84.896
2021-03-15 16:43:46,665 semantic_segmentation INFO: Sample: 14, validation pixAcc: 98.893, mIoU: 85.158
2021-03-15 16:43:46,720 semantic_segmentation INFO: Sample: 15, validation pixAcc: 98.921, mIoU: 85.166
2021-03-15 16:43:46,771 semantic_segmentation INFO: Sample: 16, validation pixAcc: 98.948, mIoU: 85.218
2021-03-15 16:43:46,822 semantic_segmentation INFO: Sample: 17, validation pixAcc: 98.973, mIoU: 85.272
2021-03-15 16:43:46,870 semantic_segmentation INFO: Sample: 18, validation pixAcc: 98.984, mIoU: 85.281
2021-03-15 16:43:46,920 semantic_segmentation INFO: Sample: 19, validation pixAcc: 98.997, mIoU: 85.338
2021-03-15 16:43:46,968 semantic_segmentation INFO: Sample: 20, validation pixAcc: 98.997, mIoU: 85.377
2021-03-15 16:43:47,022 semantic_segmentation INFO: Sample: 21, validation pixAcc: 98.993, mIoU: 85.300
